model,train_size,repeat,acc,f1,baseline
roberta-base,25,4,0.6,0.48571428571428565,0.2
roberta-base,25,5,0.575,0.4913333333333333,0.2
roberta-base,25,6,0.425,0.28686868686868683,0.2
roberta-base,25,7,0.425,0.28100358422939065,0.2
roberta-base,25,8,0.4,0.27999999999999997,0.2
roberta-base,25,9,0.55,0.43034482758620685,0.2
roberta-base,25,10,0.575,0.5195098039215686,0.2
roberta-base,25,11,0.45,0.35725490196078435,0.2
roberta-base,25,12,0.65,0.5475514874141877,0.2
roberta-base,25,13,0.425,0.30066889632107024,0.2
roberta-base,25,14,0.575,0.45034965034965035,0.2
roberta-base,25,15,0.65,0.6430769230769231,0.2
roberta-base,25,16,0.425,0.31689026487788097,0.2
roberta-base,25,17,0.65,0.5720634920634919,0.2
roberta-base,25,18,0.45,0.3353766233766234,0.2
roberta-base,25,19,0.5,0.45698245614035093,0.2
roberta-base,25,20,0.475,0.3875,0.2
roberta-base,25,21,0.525,0.4364102564102564,0.2
roberta-base,25,22,0.65,0.5587878787878787,0.2
roberta-base,25,23,0.575,0.529421033073207,0.2
roberta-base,25,24,0.5,0.4171945701357466,0.2
roberta-base,25,25,0.4,0.27028657616892915,0.2
roberta-base,25,26,0.675,0.6311111111111111,0.2
roberta-base,25,27,0.575,0.4452039188881294,0.2
roberta-base,25,28,0.6,0.5322272498743087,0.2
roberta-base,25,29,0.625,0.606974358974359,0.2
roberta-base,40,0,0.6,0.5276190476190477,0.2
roberta-base,40,1,0.6,0.5276190476190477,0.2
roberta-base,40,2,0.6,0.5276190476190477,0.2
roberta-base,40,3,0.6,0.5276190476190477,0.2
roberta-base,40,4,0.6,0.5276190476190477,0.2
roberta-base,40,5,0.6,0.5276190476190477,0.2
roberta-base,40,6,0.6,0.5276190476190477,0.2
roberta-base,40,7,0.6,0.5276190476190477,0.2
roberta-base,40,8,0.6,0.5276190476190477,0.2
roberta-base,40,9,0.6,0.5276190476190477,0.2
roberta-base,40,10,0.6,0.5276190476190477,0.2
roberta-base,40,11,0.6,0.5276190476190477,0.2
roberta-base,40,12,0.6,0.5276190476190477,0.2
roberta-base,40,13,0.6,0.5276190476190477,0.2
roberta-base,40,14,0.6,0.5276190476190477,0.2
roberta-base,40,15,0.6,0.5276190476190477,0.2
roberta-base,40,16,0.6,0.5276190476190477,0.2
roberta-base,40,17,0.6,0.5276190476190477,0.2
roberta-base,40,18,0.6,0.5276190476190477,0.2
roberta-base,40,19,0.6,0.5276190476190477,0.2
roberta-base,40,20,0.6,0.5276190476190477,0.2
roberta-base,40,21,0.6,0.5276190476190477,0.2
roberta-base,40,22,0.6,0.5276190476190477,0.2
roberta-base,40,23,0.6,0.5276190476190477,0.2
roberta-base,40,24,0.6,0.5276190476190477,0.2
roberta-base,40,25,0.6,0.5276190476190477,0.2
roberta-base,40,26,0.6,0.5276190476190477,0.2
roberta-base,40,27,0.6,0.5276190476190477,0.2
roberta-base,40,28,0.6,0.5276190476190477,0.2
roberta-base,40,29,0.6,0.5276190476190477,0.2
gpt2,10,2,0.275,0.1802020202020202,0.2
gpt2,10,4,0.225,0.10956521739130434,0.2
gpt2,10,5,0.225,0.11252955082742315,0.2
gpt2,10,6,0.275,0.17651821862348177,0.2
gpt2,10,8,0.35,0.2653503677893922,0.2
gpt2,10,11,0.275,0.21093093093093093,0.2
gpt2,10,12,0.225,0.10747474747474747,0.2
gpt2,10,15,0.2,0.07111111111111111,0.2
gpt2,10,16,0.25,0.1393939393939394,0.2
gpt2,10,17,0.225,0.11252955082742315,0.2
gpt2,10,18,0.375,0.22888888888888886,0.2
gpt2,10,19,0.225,0.1481216457960644,0.2
gpt2,10,21,0.325,0.2375,0.2
gpt2,10,23,0.2,0.07272727272727272,0.2
gpt2,10,24,0.375,0.24675716440422324,0.2
gpt2,10,25,0.3,0.19047619047619047,0.2
gpt2,10,26,0.25,0.14956521739130435,0.2
gpt2,10,29,0.225,0.10747474747474747,0.2
gpt2,15,0,0.375,0.2939217963608208,0.2
gpt2,15,1,0.425,0.3244444444444444,0.2
gpt2,15,2,0.225,0.10747474747474747,0.2
gpt2,15,3,0.45,0.32753623188405795,0.2
gpt2,15,4,0.2,0.06956521739130435,0.2
gpt2,15,5,0.3,0.209009009009009,0.2
gpt2,15,6,0.2,0.07441860465116279,0.2
gpt2,15,7,0.225,0.11252955082742315,0.2
gpt2,15,8,0.2,0.07111111111111111,0.2
gpt2,15,9,0.275,0.1703564727954972,0.2
gpt2,15,10,0.375,0.22888888888888886,0.2
gpt2,15,11,0.4,0.3559523809523809,0.2
gpt2,15,12,0.325,0.23222506393861891,0.2
gpt2,15,13,0.3,0.18609625668449198,0.2
gpt2,15,14,0.3,0.20728744939271254,0.2
gpt2,15,15,0.2,0.07441860465116279,0.2
gpt2,15,16,0.225,0.11886304909560723,0.2
gpt2,15,18,0.3,0.20307692307692307,0.2
gpt2,15,19,0.325,0.26153846153846155,0.2
gpt2,15,20,0.45,0.35051851851851856,0.2
gpt2,15,21,0.45,0.38303030303030305,0.2
gpt2,15,22,0.3,0.22545454545454544,0.2
gpt2,15,23,0.45,0.35398119122257055,0.2
gpt2,15,24,0.3,0.22350951374207187,0.2
gpt2,15,25,0.275,0.20753968253968255,0.2
gpt2,15,26,0.3,0.19445887445887444,0.2
gpt2,15,28,0.225,0.11441241685144124,0.2
gpt2,15,29,0.2,0.07111111111111111,0.2
gpt2,20,0,0.2,0.08648648648648649,0.2
gpt2,20,1,0.55,0.4819082125603865,0.2
gpt2,20,2,0.325,0.22624434389140272,0.2
gpt2,20,3,0.3,0.23285486443381176,0.2
