section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_only_late,a_marker_hit,0.9,40,36.0,0.7694792561952611,0.9604211124044252
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_only_late,b_marker_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_only_late,both_markers_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_only_late,content_preserved,0.75,40,30.0,0.598057409330299,0.8581303210445048
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_plus_b_late,a_marker_hit,0.75,40,30.0,0.598057409330299,0.8581303210445048
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_plus_b_late,b_marker_hit,0.225,40,9.0,0.1231595325467853,0.3750339640409305
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_plus_b_late,both_markers_hit,0.125,40,5.0,0.05459419773541284,0.26112420670238146
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_plus_b_late,content_preserved,0.45,40,18.0,0.30705075280944694,0.6017117011155924
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_then_b_layers,a_marker_hit,0.75,40,30.0,0.598057409330299,0.8581303210445048
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_then_b_layers,b_marker_hit,0.275,40,11.0,0.1610785343314309,0.4283525083312457
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_then_b_layers,both_markers_hit,0.125,40,5.0,0.05459419773541284,0.26112420670238146
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=a_then_b_layers,content_preserved,0.45,40,18.0,0.30705075280944694,0.6017117011155924
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_only_late,a_marker_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_only_late,b_marker_hit,0.95,40,38.0,0.834958291820748,0.9861796228538989
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_only_late,both_markers_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_only_late,content_preserved,0.8,40,32.0,0.6524239261814333,0.8950013502683314
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_then_a_layers,a_marker_hit,0.775,40,31.0,0.6249660359590695,0.8768404674532148
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_then_a_layers,b_marker_hit,0.175,40,7.0,0.08745302996883063,0.3195029205439244
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_then_a_layers,both_markers_hit,0.125,40,5.0,0.05459419773541284,0.26112420670238146
