model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test,mean_target_cosine,mean_mse,cells
BAAI/bge-m3,10.0,de,affine,Q,0.9061562418937684,0.2536532878875732,160.0,,,
BAAI/bge-m3,10.0,de,additive,M,0.9618545770645142,0.1009022444486618,160.0,,,
BAAI/bge-m3,10.0,de,linear,M,0.9301419295231046,0.1745276550126445,160.0,,,
BAAI/bge-m3,10.0,de,affine,M,0.9299413561820984,0.1758379787206649,160.0,,,
BAAI/bge-m3,10.0,de,additive,T,0.9246416091918944,0.21071657538414,160.0,,,
BAAI/bge-m3,10.0,de,linear,T,0.8907549085232447,0.2979369343953201,160.0,,,
BAAI/bge-m3,10.0,de,affine,T,0.8958247900009155,0.2858545780181885,160.0,,,
BAAI/bge-m3,10.0,ru,additive,N,0.7809357643127441,0.7109681963920593,160.0,,,
BAAI/bge-m3,10.0,ru,linear,N,0.6177013808526091,1.0324980423757677,160.0,,,
BAAI/bge-m3,10.0,ru,affine,N,0.6035255193710327,1.1128907203674316,160.0,,,
BAAI/bge-m3,10.0,ru,additive,Q,0.8412039875984192,0.5216783285140991,160.0,,,
BAAI/bge-m3,10.0,ru,linear,Q,0.6628289755060301,1.0505356689828207,160.0,,,
BAAI/bge-m3,10.0,ru,affine,Q,0.6569435000419617,1.0939207077026367,160.0,,,
BAAI/bge-m3,10.0,ru,additive,M,0.935832142829895,0.1877458840608596,160.0,,,
BAAI/bge-m3,10.0,ru,linear,M,0.8020325303872882,0.528903446335219,160.0,,,
BAAI/bge-m3,10.0,ru,affine,M,0.7991294860839844,0.5396308898925781,160.0,,,
BAAI/bge-m3,10.0,ru,additive,T,0.9027081727981568,0.2873455286026001,160.0,,,
BAAI/bge-m3,10.0,ru,linear,T,0.7009313496431769,0.7831880904823755,160.0,,,
BAAI/bge-m3,10.0,ru,affine,T,0.7312008738517761,0.7110397815704346,160.0,,,
BAAI/bge-m3,10.0,zh,additive,N,0.9028300046920776,0.2735157907009125,160.0,,,
BAAI/bge-m3,10.0,zh,linear,N,0.8513929996042118,0.4062927762328662,160.0,,,
BAAI/bge-m3,10.0,zh,affine,N,0.8561805486679077,0.3999110460281372,160.0,,,
BAAI/bge-m3,10.0,zh,additive,Q,0.9333924055099488,0.1895794123411178,160.0,,,
